Training,Testing,K,Accuracy,Avg_Accuracy
70,30,3,,
,,5,,
,,7,,
,,9,,
60,40,3,,
,,5,,
,,7,,
,,9,,
50,50,3,,
,,5,,
,,7,,
,,9,,
40,60,3,,
,,5,,
,,7,,
,,9,,
30,70,3,,
,,5,,
,,7,,
,,9,,
